,line,geometry,color
10,D,"LINESTRING (127.027926 37.497175, 127.034631 37.484147, 127.03842 37.470023, 127.055664 37.447211, 127.111217 37.394761, 127.108105 37.36706, 127.10891 37.350077, 127.102976 37.337928, 127.095026 37.322702, 127.0801 37.313335, 127.069342 37.297664, 127.051478 37.288617, 127.044483 37.30211)",#D4003B
11,K2_,"LINESTRING (126.738714 37.362357, 126.745177 37.379681, 126.742699 37.391769, 126.733522 37.40095, 126.722478 37.400614, 126.708627 37.401637, 126.695216 37.407722, 126.687389 37.412603, 126.67894 37.417804, 126.657772 37.428514, 126.649619 37.448493, 126.638297 37.460789, 126.623853 37.46874, 126.616936 37.476691)",#F5A200
12,I1,"LINESTRING (126.735637 37.571462, 126.742654 37.566379, 126.745077 37.553703, 126.738665 37.545059, 126.728128 37.543238, 126.722597 37.538157, 126.722527 37.530415, 126.721514 37.517268, 126.720548 37.508336, 126.722244 37.498383, 126.724805 37.489493, 126.718247 37.485312, 126.710208 37.477679, 126.707938 37.467048, 126.702221 37.457405, 126.701012 37.449396, 126.699706 37.442383, 126.698579 37.434935, 126.698863 37.426684, 126.693863 37.41804, 126.687389 37.412603, 126.681015 37.404737, 126.674005 37.397878, 126.661673 37.387855, 126.656365 37.382268, 126.645168 37.378384, 126.639484 37.386007, 126.634729 37.393054, 126.630347 37.399907)",#7CA8D5
13,I2,"LINESTRING (126.627178 37.594877, 126.642696 37.59518, 126.657108 37.60185, 126.666998 37.597566, 126.673203 37.592928, 126.675844 37.585212, 126.673728 37.569104, 126.677566 37.561405, 126.677122 37.5517, 126.676787 37.543742, 126.675539 37.524649, 126.676672 37.517054, 126.676203 37.506193, 126.676203 37.506193, 126.675208 37.4897, 126.683673 37.484192, 126.68113 37.473703, 126.679923 37.464941, 126.681192 37.458335, 126.692575 37.457611, 126.702221 37.457405, 126.709986 37.456805, 126.719298 37.45583, 126.732094 37.454911, 126.736939 37.448161, 126.752618 37.448769, 126.75997 37.440127)",#ED8B00
14,K1,"MULTILINESTRING ((126.964561 37.529849, 126.974345 37.522272, 126.988537 37.519594, 127.009169 37.52943, 127.017965 37.540685, 127.034538 37.549946, 127.037732 37.561533, 127.046835 37.580178, 127.057583 37.58946, 127.076116 37.594917, 127.085032 37.596362, 127.091909 37.59955, 127.107906 37.606596, 127.143869 37.603392, 127.161153 37.608806, 127.19364 37.60533, 127.208832 37.586781, 127.222672 37.579622, 127.243939 37.547371, 127.310115 37.554669, 127.329098 37.545981, 127.372921 37.525545, 127.399367 37.516169, 127.443173 37.51382, 127.473868 37.506062, 127.491814 37.492832, 127.547076 37.468672, 127.594647 37.48223, 127.629617 37.476444), (126.964561 37.529849, 126.961351 37.539261), (126.961351 37.539261, 126.951592 37.544018, 126.935711 37.551881, 126.925381 37.557192, 126.915487 37.568491, 126.900984 37.576646, 126.895611 37.580842, 126.868387 37.602888, 126.843223 37.612314, 126.834146 37.612102, 126.820783 37.618808, 126.811024 37.631626, 126.801762 37.645676, 126.794461 37.658239, 126.786243 37.672346, 126.769846 37.682077, 126.761086 37.694023, 126.761356 37.712327, 126.767257 37.725826, 126.765347 37.751322, 126.774644 37.766217, 126.792587 37.796188, 126.792783 37.815298, 126.788047 37.854619, 126.746922 37.888599), (126.915487 37.568491, 126.942696 37.559837, 126.972559 37.554648))",#77C4A3
15,AREX,"LINESTRING (126.972559 37.554648, 126.951592 37.544018, 126.925381 37.557192, 126.900984 37.576646, 126.829497 37.567336, 126.801058 37.562434, 126.735637 37.571462, 126.673728 37.569104, 126.625327 37.555878, 126.5237 37.511466, 126.49379 37.492904, 126.476241 37.458366)",#0090D2
16,P1,"MULTILINESTRING ((127.046835 37.580178, 127.057583 37.58946, 127.076116 37.594917, 127.085032 37.596362, 127.091909 37.59955, 127.103218 37.612887, 127.114757 37.634118, 127.12684 37.64202, 127.143952 37.648311, 127.176933 37.65108, 127.207853 37.637382, 127.244493 37.653225, 127.285379 37.658978, 127.311767 37.652782, 127.379319 37.684071, 127.42661 37.735488, 127.454821 37.770246, 127.510739 37.814536, 127.557695 37.832067, 127.58933 37.830779, 127.634146 37.805723, 127.71434 37.818466, 127.723792 37.864007, 127.717023 37.885054), (127.061835 37.623632, 127.085032 37.596362))",#0C8E72
17,U1,"LINESTRING (127.052803 37.727048, 127.046895 37.724846, 127.04353 37.728755, 127.043257 37.737202, 127.034781 37.739256, 127.037023 37.743302, 127.049565 37.743676, 127.056947 37.745271, 127.06362 37.748885, 127.071495 37.75059, 127.076902 37.754025, 127.083715 37.750471, 127.085035 37.742802, 127.087159 37.737279, 127.088704 37.733579)",#FDA600
18,S1,"LINESTRING (127.012789 37.663146, 127.013252 37.656088, 127.013746 37.649593, 127.016792 37.641701, 127.017519 37.634802, 127.018152 37.627165, 127.02048 37.621512, 127.013528 37.62124, 127.008009 37.612343, 127.01349 37.602798, 127.016403 37.592624, 127.019381 37.585286, 127.025087 37.575297)",#B0CE18
19,Y1,"LINESTRING (127.115936 37.275619, 127.126033 37.270161, 127.136515 37.269606, 127.143714 37.274917, 127.152716 37.269043, 127.159443 37.260752, 127.168075 37.242115, 127.178406 37.239151, 127.190294 37.237964, 127.198781 37.237247, 127.209198 37.237845, 127.214251 37.24484, 127.218457 37.258965, 127.21364 37.267051, 127.219561 37.285342)",#509F22
20,K4,"LINESTRING (127.111217 37.394761, 127.12827 37.396104, 127.20336 37.409522, 127.253115 37.398972, 127.299 37.374419, 127.34674 37.351315, 127.40476 37.317185, 127.44226 37.265579, 127.490277 37.260192, 127.570938 37.295309, 127.628607 37.282701)",#003DA5
