사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201501,7호선,신풍,17,1,10633,1429,15242,7273,37338,9205,55223,21839,33393,13851,20371,13469,17481,13129,18332,13811,18738,14336,16504,14757,16115,17142,16361,20125,19204,24763,23424,38132,15380,35866,10990,22990,10153,23577,8365,25191,4017,14125,633,4240,4,767,0,0,0,0,20151223
201501,7호선,어린이대공원,1,0,3200,689,7801,6872,19870,14934,33468,43716,22763,33167,14282,23543,16347,22053,19470,28117,20786,29175,22156,24392,26600,22367,29703,20261,38526,21618,41603,29070,23692,26927,19550,17676,23394,15438,21871,16004,11590,10886,1756,3826,0,11,0,0,0,0,20151223
201501,7호선,온수,37,1,6576,974,16221,4478,54111,8719,63880,15562,26006,8687,15210,7139,13639,6522,14135,8138,13263,8913,10947,9490,10365,11461,11768,14139,15033,18471,14761,34295,8568,39389,6442,26542,6199,23631,4653,20709,2647,16416,462,8692,1,1171,0,0,0,0,20151223
201501,7호선,용마산,0,0,4440,543,9550,3345,25613,3758,35309,8748,18847,5695,10819,6277,9228,5238,9600,6000,9380,6588,7777,7148,7641,8996,7841,10246,9483,12362,8525,18550,5986,20922,3783,13937,3035,13736,2461,14739,1319,9808,242,3305,0,0,0,0,0,0,20151223
201501,7호선,총신대입구,29,0,5101,1085,11270,8845,28596,15245,49405,48823,31112,34923,22945,23634,23186,22319,25259,23705,29227,25673,28383,26739,29658,28175,30300,30770,33965,36522,47924,55220,32351,51901,30172,30185,31505,25497,30169,23160,16359,14736,2922,4575,2,77,0,0,0,0,20151223
201501,7호선,장승배기,1,0,6844,1323,12019,9586,31234,9082,46168,20086,27711,14499,18742,11936,17400,12153,18207,13599,18255,14916,16618,15312,16489,17969,17214,19726,21153,22013,21355,33634,13127,30578,9699,20575,8967,19712,8348,19631,3875,12191,679,4213,0,0,0,0,0,0,20151223
201501,7호선,장암,1,0,897,35,7059,1002,17760,962,12645,1351,4699,1965,2604,2165,2312,1592,2219,1103,2176,965,2318,1248,2967,971,2983,979,3761,1474,3338,2079,1991,2428,1126,1651,906,1273,503,1083,227,957,32,306,0,0,0,0,0,0,20151223
201501,7호선,중계,52,5,8663,1584,22574,6573,68798,11900,70921,24281,37604,18610,27650,14614,25297,16719,26895,15689,26160,17936,22700,19197,20861,21203,22245,23470,24297,27993,22420,43435,14165,50673,10941,33608,12566,29620,9956,29314,4575,20692,790,6888,0,0,0,0,0,0,20151223
201501,7호선,중곡,1,0,4951,601,10318,5495,31650,7662,50463,20445,28722,12647,17083,9792,16636,9831,16897,10541,17624,11623,15518,12573,14202,15088,16297,16229,17724,19356,17411,29215,13012,30337,8013,20529,7217,19327,5554,19269,2320,13446,372,3915,0,0,0,0,0,0,20151223
201501,7호선,중화,3,0,8825,750,13778,5226,41542,8474,51610,25354,29517,14720,19733,11722,18462,11004,19886,12323,18364,13593,16442,14393,16313,17394,16642,20762,20345,23763,24777,35761,17148,38992,11961,25799,10534,24172,8108,23288,4144,17187,684,5124,0,63,0,0,0,0,20151223
