사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201803,2호선,신당,62,2,6745,1739,13170,10868,31748,20294,48075,48513,29486,29354,22684,22020,22583,22402,24669,23975,26728,26045,26854,27481,28380,28620,32294,31084,35817,37475,43753,47892,29896,40252,22171,25482,20481,23329,15079,23782,8267,16164,1339,5322,2,68,0,0,0,0,20180403
201803,2호선,신대방,98,1,28249,2354,41168,11911,109338,20608,146625,38735,96792,27113,53823,23655,44772,23430,44660,26248,44281,30674,37651,34226,35641,44111,39131,52401,41641,69297,51731,95815,33415,94857,23448,65643,18605,68998,14124,76057,6765,45751,1186,12948,1,277,0,0,0,0,20180403
201803,2호선,신도림,2930,20,41224,6546,61295,27181,169831,53334,171131,138986,113780,95325,78490,82798,77497,80219,87209,91329,96051,95264,95360,88314,99689,95873,106810,111646,127176,138091,173167,204982,115428,188424,96163,108983,95810,99301,77068,101030,40521,77499,3950,34929,8,3840,1,1,0,0,20180403
201803,2호선,신림,314,9,46427,5545,86767,24413,251416,41677,362221,71454,211733,61872,117783,56728,101588,63964,107467,69125,106755,80206,94471,87534,92662,103732,100307,125947,111195,166579,120803,266038,88569,285203,70053,186175,68681,173454,62549,177521,35342,119540,5559,37053,6,718,0,0,0,0,20180403
201803,2호선,신설동,17,0,1207,462,1521,2107,3680,6793,5924,19536,5201,14196,5829,10315,7135,10393,8484,10124,10148,10658,11662,9418,13146,8153,13562,7261,16731,7818,21026,7417,8991,5697,5463,3925,4619,3491,3586,3421,1311,2751,133,807,0,125,0,0,0,0,20180403
201803,2호선,신정네거리,31,0,8877,1443,15945,4165,50098,5449,45540,11691,27625,8601,17759,7444,16620,8642,16120,9861,15301,11780,12795,13694,12118,16611,13463,20953,14485,28903,14195,40136,9353,40626,6643,23971,5793,21682,4653,21388,2071,14914,304,4246,0,262,0,0,0,0,20180403
201803,2호선,신촌,136,6,13599,4059,18210,17849,43844,46504,62999,112244,47947,138599,47229,99026,56368,89970,72531,95225,83820,103287,84881,95270,96233,90443,111878,97965,137814,123012,149247,174183,113407,140833,117872,73046,133062,57939,153533,53098,85163,37111,13309,12411,6,95,0,0,0,0,20180403
201803,2호선,아현,39,0,5193,731,11273,5172,29774,16258,40694,28191,25007,16728,18996,14451,17870,11024,19109,13673,19537,14720,17393,15005,17879,17015,25625,19077,23278,23788,24067,31963,15822,29353,10566,20058,9629,19838,7458,20509,3603,14320,584,4606,0,27,0,0,0,0,20180403
201803,2호선,양천구청,18,0,4743,1259,12253,2674,36039,6086,32326,11087,20787,7802,13955,6123,12886,5814,12944,7587,11004,9033,9598,9553,8616,11639,9874,14220,10997,18243,10704,26286,5506,28421,3786,17845,3054,16008,3087,15828,929,13125,166,4838,0,33,0,0,0,0,20180403
201803,2호선,역삼,55,6,4390,7785,10284,38869,18032,122665,29747,364222,28558,280870,28700,116791,39681,75407,47559,63403,59994,74500,64144,68266,82223,60801,97731,54780,145069,59276,305474,70844,165467,55172,97512,29503,104929,22897,75283,20274,34829,13125,5589,4436,3,54,1,1,0,0,20180403
